ImovelID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
3240430,205000,63.71,-19.871096,-43.943787,3,1,0,1,0,160,nordeste,Palmares,29/08/18,Rua José Cleto,1455
3238738,215000,75,-19.965103,-43.9693058,3,1,1,1,65.44,250,oeste,Estrela Dalva,29/08/18,Avenida Costa do Marfim,125
1581016,220000,45,-19.826187,-43.974322,2,1,0,1,1,1,pampulha,Santa Mônica,29/08/18,Rua Coelho Neto,210
1581205,220000,45,-19.826187,-43.974322,2,1,0,1,1,1,pampulha,Santa Mônica,29/08/18,Rua Coelho Neto,210
1581591,220000,45,-19.8259478,-43.9726117,2,1,0,1,1,1,pampulha,Santa Mônica,29/08/18,Rua Coelho Neto,210
3237657,220000,50,-19.8735403,-43.9982521,2,1,0,1,65,100,pampulha,Castelo,29/08/18,Rua Castelo de Ajuda,212
2708098,225000,59.19,-19.8404289,-43.9379828,3,1,0,1,62.47,250,norte,Heliópolis,29/08/18,Rua Abdenago Lisboa,60
25734,232500,37.11,-19.8618619,-43.9409786,1,1,0,1,1,150,pampulha,Dona Clara,29/08/18,Rua Bento Mendes Castanheira,40
3238487,235000,70,-19.9650919,-43.968888,3,1,0,1,68.68,184,oeste,Havaí,29/08/18,Avenida Costa do Marfim,100
44712,239000,47.07,-19.9681351,-43.9841506,2,1,0,1,0.01,0.01,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44717,239000,47.07,-19.9680522,-43.9840269,2,1,0,1,1,1,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3253774,239000,46.6,-19.9680522,-43.9840269,2,2,0,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3255355,240000,63.23,-20.00491,-44.005105,2,2,1,1,77,300,barreiro,Cardoso,29/08/18,Rua Augusto Muniz,255
362410,253775.25,55.35,-19.9223334,-44.0101878,3,1,1,1,135,368.8,noroeste,Conjunto Califórnia,29/08/18,Avenida das Castanholas,246
3259042,260000,61,-19.969096,-43.9679403,3,2,1,1,86.43,230,oeste,Buritis,29/08/18,Rua Professora Bartira Mourão,596
3235966,270000,82,-19.8906515,-43.9309798,4,2,1,1,105,421,nordeste,Silveira,29/08/18,Rua Agostinho Azzi,51
3247179,270000,65,-19.8933731,-43.9320097,2,2,0,1,88.38,370,nordeste,Silveira,29/08/18,Rua São Gonçalo,1137
3256419,280000,86,-19.970252,-43.972933,2,1,0,1,80,215,oeste,Buritis,29/08/18,Rua Eduardo Frieiro,70
38952,286825.05,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,Conjunto Califórnia,29/08/18,Avenida das Castanholas,246
1581895,289000,80,-19.82523,-43.972786,1,1,0,1,1,1,pampulha,Santa Mônica,29/08/18,Rua Coelho Neto,210
44737,290661,46.64,-19.9680522,-43.9840269,2,1,0,1,1,313.81,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44738,291335,46.64,-19.9680522,-43.9840269,2,1,0,1,1,0.01,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3253769,293357,46.6,-19.9680522,-43.9840269,2,2,0,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3253770,294032,45.6,-19.9680522,-43.9840269,2,2,0,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44724,294093,47.07,-19.9680522,-43.9840269,2,1,0,1,1,1,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
32199,295087.5,62.69,-19.9225883,-44.0095375,3,2,1,2,0,368.8,noroeste,Dom Cabral,29/08/18,Avenida das Castanholas,246
38968,295087.5,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,Dom Cabral,29/08/18,Avenida das Castanholas,246
39021,295087.5,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,Dom Cabral,29/08/18,Avenida das Castanholas,246
39030,295087.5,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,João Pinheiro,29/08/18,Avenida das Castanholas,246
44726,296868,47.07,-19.9680528,-43.9840327,2,1,0,1,1,0.01,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3253768,298256,47.1,-19.9680522,-43.9840269,2,2,0,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
1581592,299000,80,-19.8252591,-43.9728413,2,1,0,1,1,1,pampulha,Santa Mônica,29/08/18,Rua Coelho Neto,210
3253766,300337,47.1,-19.9680522,-43.9840269,2,2,0,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3241055,301031,47.07,-19.9680522,-43.9840269,2,1,0,1,1,0.01,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
39036,304530.3,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,Dom Cabral,29/08/18,Avenida das Castanholas,246
39078,304530.3,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,João Pinheiro,29/08/18,Avenida das Castanholas,246
39083,304530.3,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,João Pinheiro,29/08/18,Avenida das Castanholas,246
39085,304530.3,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,Dom Cabral,29/08/18,Avenida das Castanholas,246
39091,304530.3,62.69,-19.92223,-44.0103736,3,1,1,2,135,368.8,noroeste,João Pinheiro,29/08/18,Avenida das Castanholas,246
172874,304530.3,62.69,-19.92223,-44.0103736,3,2,1,2,135,368.8,noroeste,Dom Cabral,29/08/18,Avenida das Castanholas,246
362400,304530.3,62.69,-19.9225461,-44.0096433,3,1,1,2,135,368.8,noroeste,Dom Bosco,29/08/18,Avenida das Castanholas,246
341820,309000,52.7,-19.9153853,-43.9281332,2,1,0,1,98,390,leste,Floresta,29/08/18,Avenida do Contorno,2250
3243472,310000,79.45,-19.9822725,-43.9795821,3,1,1,1,90.81,315,oeste,Buritis,29/08/18,Avenida Senador José Augusto,80
3248774,324900,140,-19.8344197,-43.9679731,3,1,0,1,75.74,60,pampulha,Santa Branca,29/08/18,Rua Júlio Diniz,604
44762,329000,69.27,-19.9680528,-43.9840327,3,2,1,1,1,407,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44775,329000,69.27,-19.9680528,-43.9840327,3,2,1,1,1,1,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
44777,329000,69.27,-19.9680528,-43.9840327,3,2,1,1,1,407.21,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
350188,330000,67.29,-19.9683392,-43.9655367,3,2,1,1,80.84,250,oeste,Buritis,29/08/18,Rua Vitorio Magnavacca,145
362428,334039.05,109.98,-19.9225461,-44.0096433,2,1,1,1,135,368.8,noroeste,João Pinheiro,29/08/18,Avenida das Castanholas,246
362429,334039.05,109.98,-19.9223863,-44.0096859,2,1,1,1,135,368.8,noroeste,Dom Cabral,29/08/18,Avenida das Castanholas,246
3243228,335000,111.37,-19.9622645,-43.9655979,4,2,1,1,77.2,450,oeste,Estoril,29/08/18,Rua Paulo Piedade Campos - lado par,680
3254663,335000,78,-19.976613,-43.9639571,3,2,1,2,119,430,oeste,Buritis,29/08/18,Rua Laura Soares Carneiro,77
1700618,349000,80,-19.969076,-43.966743,3,2,1,1,85.41,280,oeste,Buritis,29/08/18,Rua Engenheiro Alberto Pontes,407
3255390,349000,69.27,-19.9680522,-43.9840269,3,2,1,2,1,407,oeste,Palmeiras,29/08/18,Rua Senhora do Porto,1600
3243728,350000,70,-19.8773581,-43.9820917,2,2,1,2,160,200,pampulha,Ouro Preto,29/08/18,Rua Júlio Soares Santana,369
3256130,350000,100,-19.9386319,-43.916565,3,3,1,1,117,630,centro-sul,Serra,29/08/18,Rua Laguna,18
25790,362000,60.5,-19.8618619,-43.9409786,2,1,1,2,1,200,pampulha,Dona Clara,29/08/18,Rua Bento Mendes Castanheira,40
1527623,380000,80,-19.9489953,-43.9706827,3,2,1,2,124.18,300,oeste,Jardim América,29/08/18,Rua Lindolfo de Azevedo,2533
3249508,385000,80,-19.8790672,-43.9255179,3,2,1,2,80,250,nordeste,União,29/08/18,Rua Lorca,59
