Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
3256936,305000,87.04,-19.8125636,-43.9639666,2,1,0,1,0,0,venda-nova,Venda Nova,43228,Rua Padre Pedro Pinto,1595.0
3243280,240000,87.04,-19.9016889,-43.9294402,2,1,0,1,80,150,leste,Graça,43228,Rua Silveira,256.0
343205,900000,87,-19.9297742,-43.9440808,3,2,1,2,380,664,centro-sul,Lourdes,43228,Rua Curitiba,1544.0
308619,650000,87,-19.9639558,-43.9653875,3,2,1,2,221.96,638.88,oeste,Estoril,43228,Rua Paulo Piedade Campos,15.0
3236345,562000,87,-19.9728915,-43.970122,3,2,1,2,231,700,oeste,Buritis,43228,Rua Clementino Viana Dotti,162.0
58266,450000,87,-19.916697,-43.9886318,3,2,1,2,101.92,250,noroeste,Padre Eustáquio,43228,,
40505,440000,87,-19.8765759,-44.0004588,3,2,1,2,87,350,pampulha,Castelo,43228,,
3245603,400000,87,-19.888512,-43.9385,3,3,1,3,174.56,276,nordeste,Renascença,43228,,
149703,390000,87,-19.8883892,-43.9264421,3,2,1,1,104.67,250,leste,Cidade Nova,43228,Rua Tabelião Ferreira de Carvalho,509.0
343459,380000,87,-19.946207,-43.9264973,2,1,0,1,109.73,322,centro-sul,Anchieta,43228,Rua Vitório Marcola,222.0
126430,360000,87,-19.9527815,-43.9495695,3,2,0,1,124.23,310,centro-sul,Vila Paris,43228,,
139628,350000,87,-19.8974786,-43.9509685,4,1,2,1,64.2,250,noroeste,São Cristóvão,43228,,
347812,340000,87,-19.900378,-43.9297997,3,1,0,1,66.23,250,leste,Graça,43228,,
165173,330000,87,-19.889023,-43.995241,3,2,1,2,0,270,pampulha,Castelo,43228,Rua Cecília Fonseca Coutinho,204.0
3245873,310000,87,-19.881186,-43.916382,3,2,1,1,112.51,322.54,nordeste,União,43228,,
2516779,295000,87,-19.9721617,-43.9679346,3,2,1,1,101,250,oeste,Buritis,43228,,
1527336,290000,87,-19.8663618,-43.9177485,3,2,1,2,104,250,nordeste,Pirajá,43228,Rua Crispim,386.0
3255788,280000,87,-19.9209152,-43.9946085,2,1,0,1,90,150,noroeste,Minas Brasil,43228,,
50390,277000,87,-19.949234,-43.956081,3,1,0,1,134,500,centro-sul,Luxemburgo,43228,,
147740,260000,87,-19.8372631,-43.9737522,2,1,0,1,74.17,150,pampulha,Santa Amélia,43228,,
124078,250000,87,-19.9498108,-43.9584756,3,1,0,1,133.82,440,centro-sul,Luxemburgo,43228,,
3255302,390000,86.82,-19.9765856,-43.9747202,3,3,1,2,252.03,597,oeste,Buritis,43228,,
161588,300000,86.79,-19.9165404,-43.9915081,3,2,0,1,60,180,noroeste,Padre Eustáquio,43228,,
331697,320000,86.75,-19.9047295,-43.9190544,3,1,0,1,74.46,260,leste,Sagrada Família,43228,Rua Horizontal,183.0
3238007,305000,86.72,-19.9395219,-43.9799228,3,1,1,2,78.99,275,oeste,Salgado Filho,43228,,
132568,340000,86.58,-19.86761,-43.9852002,3,1,1,2,90,300,pampulha,Ouro Preto,43228,,
19849,995000,86.55,-19.9318281,-43.9366725,3,3,1,2,1,850,centro-sul,Funcionários,43228,Rua Sergipe,440.0
3251034,379000,86.54,-19.942478,-43.973701,3,3,1,1,130,270,oeste,Nova Suíssa,43228,,
3234384,375000,86.54,-19.9426118,-43.97371,3,3,1,2,127.03,270,oeste,Jardim América,43228,,
357359,265000,86.46,-19.896906,-44.01391,2,1,0,1,90,200,noroeste,Glória,43228,,
3234884,350000,86.41,-19.8674978,-43.9896155,3,1,1,2,70.54,150,pampulha,Itamarati,43228,,
364198,350000,86.39,-19.8881393,-43.9962937,3,1,1,2,95,250,pampulha,Castelo,43228,,
166981,395000,86.38,-19.8882816,-43.9989951,3,1,2,2,95.57,250,pampulha,Castelo,43228,Rua Doutor Sylvio Menicucci,75.0
403191,429000,86.26,-19.875065,-43.93244,3,1,1,2,116,340,nordeste,Palmares,43228,Rua Coronel Jairo Pereira,51.0
3253034,165000,86.21,-19.8250644,-43.9583919,2,1,0,0,0,75,venda-nova,São João Batista,43228,Rua José Sanguinete,105.0
58280,345000,86.18,-19.8588238,-43.9363267,3,1,1,1,64.4,224,pampulha,Dona Clara,43228,,
1584957,420000,86.17,-19.8732203,-43.9325318,3,3,1,2,180,350,nordeste,Palmares,43228,,
293891,340000,86.17,-19.8797574,-43.9349832,3,2,1,1,104.44,220,nordeste,Silveira,43228,,
