Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,
1839012,800000.0,180.0,-19.919649,-43.988242000000014,3,3,1,3,265.0,1.0,noroeste,12/10/2018,Coração Eucarístico,Rua Itutinga,95,
1839012,800000.0,180.0,-19.919649,-43.988242000000014,3,3,1,3,265.0,1.0,noroeste,12/10/2018,Minas Brasil,Rua Itutinga,95,
1831811,890000.0,172.0,-19.9046968,-43.91518050000002,4,4,2,3,650.0,324.0,leste,12/10/2018,Horto Florestal,Rua Artur Alvim,273,
1831811,890000.0,172.0,-19.9046968,-43.91518050000002,4,4,2,3,650.0,324.0,leste,12/10/2018,Sagrada Família,Rua Artur Alvim,273,
21629,900000.0,146.89,-19.9558912,-43.93582679999997,4,2,1,2,800.0,305.37,centro-sul,12/10/2018,Anchieta,Rua Doutor Astolfo Vieira de Resende,177,
21629,900000.0,146.89,-19.9558912,-43.93582679999997,4,2,1,2,800.0,305.37,centro-sul,12/10/2018,Sion,Rua Doutor Astolfo Vieira de Resende,177,
3239896,950000.0,140.0,-19.895594,-43.93213990000004,4,2,1,2,1050.0,255.0,nordeste,12/10/2018,Nova Floresta,Rua São Gonçalo,785,
2540890,2000000.0,540.0,-19.928501,-43.925842999999986,4,3,2,3,2200.0,816.92,centro-sul,12/10/2018,Funcionários,Rua Piauí,1029,
3253506,192388.56,26.81,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
3253556,209247.93,28.41,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347206,213453.81,28.41,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347206,213453.81,28.41,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346588,228914.4,32.95,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346588,228914.4,32.95,-19.9240358,-43.93842570000004,1,1,1,1,250.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
346757,231203.54,32.95,-19.9240358,-43.93842570000004,1,1,1,1,250.0,0.01,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
346757,231203.54,32.95,-19.9240358,-43.93842570000004,1,1,1,1,250.0,0.01,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3253557,232295.08,34.26,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347193,238209.24,32.95,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347193,238209.24,32.95,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347098,240065.0,33.64,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347098,240065.0,33.64,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347195,242465.65,33.64,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347195,242465.65,33.64,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
3253578,242997.25,32.95,-19.9240358,-43.93842570000004,1,1,1,1,234.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347209,246775.81,34.01,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347209,246775.81,34.01,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
347315,247339.21,33.64,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Centro,Rua Espírito Santo,1059,
347315,247339.21,33.64,-19.9240358,-43.93842570000004,1,1,1,1,1.0,1.0,centro-sul,12/10/2018,Lourdes,Rua Espírito Santo,1059,
1993125,260000.0,72.0,-19.9561057,-43.967286,2,2,0,1,300.0,53.56,oeste,12/10/2018,Buritis,Rua Cordelina Silveira Matos,150,
1993125,260000.0,72.0,-19.9561057,-43.967286,2,2,0,1,300.0,53.56,oeste,12/10/2018,Estoril,Rua Cordelina Silveira Matos,150,
