Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,Unnamed: 17
167997,280000.0,58.0,-19.8984289,-43.96881259999998,2,1,0,1,190.0,73.0,noroeste,Caiçaras,None,282,,
218391,280000.0,47.0,-19.9570583,-43.98361420000003,2,1,0,1,196.0,60.75,oeste,Betânia,None,282,,
361054,280000.0,140.0,-19.960268300000003,-43.98285599999997,4,2,1,1,250.0,92.93,oeste,Palmeiras,None,282,,
3253436,280000.0,80.0,-19.9437009,-43.97047859999998,3,2,1,1,220.0,69.0,oeste,Nova Granada,None,282,,
3255255,280000.0,80.0,-19.950549399999996,-43.97247419999997,2,2,0,2,270.0,75.08,oeste,Nova Suíssa,None,282,,
3252552,284000.0,66.57,-19.8930349,-44.004029599999974,2,1,0,1,205.0,67.56,noroeste,Alípio de Melo,None,282,,
354989,287000.0,80.0,-19.9036229,-43.97872489999998,2,2,0,1,130.0,84.1,noroeste,Caiçaras,None,282,,
14034,290000.0,98.36,-19.9106642,-43.92698489999998,3,3,1,1,210.0,62.0,leste,São Lucas,None,283,,
55461,290000.0,88.99,-19.989721600000003,-44.0222943,3,1,1,1,250.0,96.38,barreiro,Diamante,None,283,,
170055,290000.0,80.0,-19.9179154,-43.967542500000036,3,1,0,1,400.0,0.0,noroeste,Padre Eustáquio,None,283,,
342925,290000.0,71.92,-19.941105800000003,-43.97596009999995,2,1,0,1,177.68,932.78,oeste,Jardim América,None,283,,
356311,290000.0,140.0,-19.960310699999997,-43.983092899999974,3,1,0,1,285.0,75.33,oeste,Palmeiras,None,283,,
3256783,290000.0,60.0,-19.9143076,-43.97414879999997,2,2,0,1,250.0,0.0,noroeste,Padre Eustáquio,None,283,,
3264806,290000.0,150.0,-19.9136563,-43.9878592,2,3,0,1,340.0,65.67,noroeste,Padre Eustáquio,None,283,,
144936,295000.0,88.0,-19.8832374,-43.90603379999999,3,2,1,1,190.0,27.0,venda-nova,Parque São Pedro (venda Nova),None,283,,
1848603,295000.0,53.76,-19.9686794,-43.96807260000003,2,2,1,1,295.0,85.95,oeste,Buritis,None,283,,
187763,299000.0,63.81,-19.8719137,-43.99851030000002,2,1,1,1,325.0,76.28,pampulha,Paquetá,None,283,,
3261597,299000.0,54.14,-19.904803,-43.92983700000002,2,1,0,1,200.0,78.0,leste,Sagrada Família,None,283,,
182458,300000.0,108.0,-19.923400199999996,-43.94547280000001,3,2,0,0,385.0,0.0,centro-sul,Centro,None,283,,
347521,300000.0,60.0,-19.8968949,-43.92152140000002,2,2,0,1,300.0,75.93,leste,Sagrada Família,None,283,,
1051903,300000.0,78.0,-19.9181458,-43.9674531,3,2,0,2,460.0,71.35,noroeste,Padre Eustáquio,None,283,,
1524576,300000.0,110.0,-19.965729,-43.97990700000002,3,1,1,1,230.0,92.0,oeste,Palmeiras,None,283,,
3261350,300000.0,65.49,-19.979304199999998,-44.02330430000001,2,2,0,1,100.0,0.0,barreiro,Teixeira Dias,None,284,,
3262136,300000.0,74.0,-19.9260293,-43.9908671,3,1,0,1,250.0,0.0,noroeste,Coração Eucarístico,None,284,,
1582521,309000.0,60.0,-19.9048312,-43.963721100000036,2,1,0,2,280.0,104.72,noroeste,Caiçaras,None,284,,
1834046,309000.0,70.0,-19.8992206,-43.9783008,3,1,1,1,250.0,81.23,noroeste,Caiçaras,None,284,,
3249627,309000.0,84.0,-19.956024300000003,-43.976576000000016,3,1,1,1,228.0,88.37,oeste,Havaí,None,284,,
153666,310000.0,64.71,-19.8733998,-43.98489860000001,3,2,1,1,250.0,64.54,pampulha,Ouro Preto,None,284,,
